Algo	Type	runs	id	iterations	Found	time											
AVM	Break 	19	5	1	 true 	1.539											
AVM	Break 	20	5	1	 true 	1.310											
AVM	Break 	21	5	1	 true 	1.316											
AVM	Break 	22	5	1	 true 	0.935											
AVM	Break 	23	5	1	 true 	0.965											
AVM	Break 	24	5	1	 true 	0.893											
AVM	Break 	25	5	1	 true 	0.880											
AVM	Break 	26	5	1	 true 	1.475											
AVM	Break 	27	5	1	 true 	0.905											
AVM	Break 	28	5	1	 true 	1.112											
AVM	Break 	29	5	1	 true 	1.048											
AVM	Break 	30	5	1	 true 	1.343											
AVM	Break 	31	5	1	 true 	1.101											
AVM	Break 	32	5	1	 true 	1.188											
AVM	Break 	33	5	1	 true 	1.526											
AVM	Break 	34	5	1	 true 	1.179											
AVM	Break 	35	5	1	 true 	1.532											
AVM	Break 	36	5	1	 true 	1.501											
AVM	Break 	37	5	1	 true 	1.348											
AVM	Break 	38	5	1	 true 	1.252											
AVM	Break 	39	5	1	 true 	1.473											
AVM	Break 	40	5	1	 true 	1.242											
AVM	Break 	41	5	1	 true 	1.414											
AVM	Break 	42	5	1	 true 	1.609											
AVM	Break 	43	5	1	 true 	1.659											
AVM	Break 	44	5	1	 true 	1.069											
AVM	Break 	45	5	1	 true 	1.019											
AVM	Break 	46	5	1	 true 	1.386											
AVM	Break 	47	5	1	 true 	1.364											
AVM	Break 	48	5	1	 true 	1.146											
AVM	Break 	49	5	1	 true 	1.334											
AVM	Break 	50	5	1	 true 	1.423											
AVM	Break 	51	5	1	 true 	1.188											
AVM	Break 	52	5	1	 true 	1.358											
AVM	Break 	53	5	1	 true 	1.205											
AVM	Break 	54	5	1	 true 	1.509											
AVM	Break 	55	5	1	 true 	0.891											
AVM	Break 	56	5	1	 true 	1.194											
AVM	Break 	57	5	1	 true 	1.451											
AVM	Break 	58	5	1	 true 	0.967											
AVM	Break 	59	5	1	 true 	1.026											
AVM	Break 	60	5	1	 true 	1.344											
AVM	Break 	61	5	1	 true 	1.492											
AVM	Break 	62	5	1	 true 	1.541											
AVM	Break 	63	5	1	 true 	1.020											
AVM	Break 	64	5	1	 true 	1.107											
AVM	Break 	65	5	1	 true 	1.256											
AVM	Break 	66	5	1	 true 	1.250											
AVM	Break 	67	5	1	 true 	1.335											
AVM	Break 	68	5	1	 true 	1.389											
AVM	Break 	69	5	1	 true 	1.466											
AVM	Break 	70	5	1	 true 	1.115											
AVM	Break 	71	5	1	 true 	1.450											
AVM	Break 	72	5	1	 true 	1.493											
AVM	Break 	73	5	1	 true 	1.127											
AVM	Break 	74	5	1	 true 	1.266											
AVM	Break 	75	5	1	 true 	0.977											
AVM	Break 	76	5	1	 true 	1.103											
AVM	Break 	77	5	1	 true 	1.263											
AVM	Break 	78	5	1	 true 	1.328											
AVM	Break 	79	5	1	 true 	1.162											
AVM	Break 	80	5	1	 true 	1.339											
AVM	Break 	81	5	1	 true 	1.634											
AVM	Break 	82	5	1	 true 	1.630											
AVM	Break 	83	5	1	 true 	1.481											
AVM	Break 	84	5	1	 true 	1.116											
AVM	Break 	85	5	1	 true 	0.980											
AVM	Break 	86	5	1	 true 	0.954											
AVM	Break 	87	5	1	 true 	1.274											
AVM	Break 	88	5	1	 true 	1.031											
AVM	Break 	89	5	1	 true 	1.417											
AVM	Break 	90	5	1	 true 	1.277											
AVM	Break 	91	5	1	 true 	1.376											
AVM	Break 	92	5	1	 true 	1.637											
AVM	Break 	93	5	1	 true 	1.238											
AVM	Break 	94	5	1	 true 	1.451											
AVM	Break 	95	5	1	 true 	0.988											
AVM	Break 	96	5	1	 true 	1.134											
AVM	Break 	97	5	1	 true 	1.191											
AVM	Break 	98	5	1	 true 	1.135											
AVM	Break 	99	5	1	 true 	1.105											
AVM	Break 	0	6	1	 true 	0.583											
